ShipName;planet;coord_place;direction;password
LOСА-302;Голевард;70 -52;9 -6;АРДСOЛОГ
BНВB-560;Угариния;54 -73;-10 -9;НИЯВНАГУ
ЬSТА-367;Жезл Саурона;-35 -13;-7 1;ОНАТSЗЕЖ
OADС-556;Шамлария;0 0;-10 4;РИЯDAМАШ
OFYB-294;Золотая Даль;-42 -3;-3 8;АЛЬYFЛОЗ
ХPВH-805;Жезл Саурона;-89 62;6 -3;ОНАВPЗЕЖ
VСЭT-405;Нейландия;74 -5;8 4;ДИЯЭСЙЕН
НLЙO-968;Наразиния;-5 1;-2 4;НИЯЙLРАН
БUВУ-873;Тальсария;-17 99;-1 1;РИЯВUЛАТ
СНRO-490;Мирондия;-88 60;-8 5;ДИЯRНРИМ
TТДI-935;Беренс;80 -83;4 -3;ЕНСДТРЕБ
НЦUК-690;Фангорн;94 80;-10 5;ОРНUЦНАФ
КNPE-304;Халасия;-80 -79;1 -8;СИЯPNЛАХ
ЖКDК-209;Ширифповерье;83 84;8 -5;РЬЕDКРИШ
ЭKFБ-921;Наразиния;0 0;1 -6;НИЯFKРАН
CZЭГ-887;Моргариан;-30 53;6 8;ИАНЭZРОМ
ЪTЬП-320;Валинор;-70 -44;-2 -7;НОРЬTЛАВ
TRYС-982;Арда;-59 77;9 9;РДАYRДРА
WПШЗ-61;Шадирия;-81 -8;-1 3;РИЯШПДАШ
МЭRU-259;Юэгусия;0 0;5 -6;СИЯRЭГЭЮ
BМVО-810;Золотонос;-8 -96;1 1;НОСVМЛОЗ
ЦLМК-937;Абеллио;-19 -26;-5 -2;ЛИОМLЕБА
MAFС-471;Лузия;77 -47;1 8;ЗИЯFAЗУЛ
BAMS-209;Харад;-75 -81;-6 6;РАДMAРАХ
FAОQ-722;Голевард;10 -77;-9 -5;АРДОAЛОГ
PШКЬ-178;Хилварика;-41 31;-4 -6;ИКАКШЛИХ
ГEYЪ-555;Гординия;99 -43;3 -6;НИЯYEРОГ
ЫVДQ-284;Острудария;-27 79;2 7;РИЯДVТСО
GRДA-175;Ясмария;-62 38;-6 -3;РИЯДRМСЯ
ЮЙНЭ-279;Нимасия;32 34;-8 8;СИЯНЙМИН
ООТГ-929;Цитрамор;0 17;3 -3;МОРТОТИЦ
BЭSD-149;Чавланшан;-76 -60;0 4;ШАНSЭВАЧ
ЦLРJ-393;Оладария;18 -83;6 8;РИЯРLАЛО
VBЬS-701;Яентарин;-59 -26;-4 4;РИНЬBНЕЯ
YСGV-462;Утопия;0 -20;9 -8;ПИЯGСОТУ
CФOЕ-853;Абеллио;-79 -87;-8 9;ЛИОOФЕБА
ЗПФБ-132;Идаллия;-87 -10;-9 -5;ЛИЯФПАДИ
РCUЛ-201;Ширифповерье;2 -52;-6 -4;РЬЕUCРИШ
ZGГЛ-684;Ривенделл;-24 -63;-9 -7;ЕЛЛГGВИР
AСBN-655;Шамлария;13 -86;-10 -8;РИЯBСМАШ
ZTЕC-122;Царкония;75 -29;3 9;НИЯЕTРАЦ
РEШZ-584;Голевард;-39 -74;-1 0;АРДШEЛОГ
ХЫВH-565;Сирмария;14 43;1 -7;РИЯВЫРИС
YJСУ-431;Саурон;31 -100;-6 -3;РОНСJУАС
BЛШБ-897;Праметия;-52 -19;0 -1;ТИЯШЛАРП
ФMЭE-210;Фарнслетия;-7 75;-7 6;ТИЯЭMРАФ
CVЬЗ-730;Дуин;-55 20;9 -1;УИНЬVИУД
ЛITD-778;Цитрамор;46 97;-6 -9;МОРTIТИЦ
ДВTТ-686;Праметия;29 11;1 -5;ТИЯTВАРП
ИФZШ-969;Едор;-97 -64;-6 -7;ДОРZФОДЕ
KЬKШ-824;Цитрамор;-49 -87;-9 0;МОРKЬТИЦ
ЯЮOУ-188;Ривенделл;0 -61;-6 3;ЕЛЛOЮВИР
ЧOАИ-270;Южный кошмар;59 41;0 -6;МАРАOНЖЮ
AZBV-274;Фиринция;-51 54;-8 -7;ЦИЯBZРИФ
LIJЙ-879;Целиндия;-99 -68;-4 -7;ДИЯJIЛЕЦ
TGЫH-549;Жимрамир;-57 -34;5 8;МИРЫGМИЖ
ГKLS-231;Диасурия;30 82;0 -1;РИЯLKАИД
ЬSBЮ-217;Уриллион;79 14;-4 -10;ИОНBSИРУ
ЬЯJТ-431;Юхусия;-22 24;0 -8;СИЯJЯУХЮ
ЕХXT-899;Арда;30 14;8 -3;РДАXХДРА
БАЩX-551;Гондор;-39 90;1 6;ДОРЩАНОГ
BЖЛЩ-86;Харад;55 83;-3 -4;РАДЛЖРАХ
JQМЩ-656;Юэгусия;-54 25;9 -9;СИЯМQГЭЮ
ОИVА-767;Яскария;51 75;-8 -3;РИЯVИКСЯ
MEЧУ-99;Зуария;88 -26;-4 -7;РИЯЧEАУЗ
ФWДK-369;Лоркиндария;64 -3;-4 0;РИЯДWРОЛ
